student_id,year_of_study,major,study_hours_per_day,study_schedule,study_environment,gpa,avg_sleep_hours,sleep_quality,focus_level,productivity_level,stress_level,stress_factors,frequency_of_overwhelm,social_media_hours,social_media_impact,extracurricular_participation,extracurricular_hours,career_preparedness,internship_experience,job_confidence,part_time_job,work_hours_per_week,financial_stress
1,2,SOLS,3-4,Daily study routine,No dedicated space,7.66,4-5,Poor,8,8,3,Finance,Rarely,1-2,No effect,No,<1,Not at all,Yes,9,No,NA,No
2,5,SOHST,3-4,Weekdays only,Noisy,6.8,4-5,Fair,6,8,7,Time Management,Sometimes,<1,Negative,No,1-3,Somewhat,No,9,No,NA,No
3,4,SOCS,3-4,Weekdays only,Quiet,7.21,8+,Poor,5,5,7,Time Management,Sometimes,3-4,Positive,No,1-3,Somewhat,No,9,No,NA,No
4,3,SOCS,3-4,Daily study routine,No dedicated space,7.96,6-7,Excellent,6,8,8,Personal,Sometimes,4+,Negative,No,<1,Somewhat,No,9,No,NA,Yes
5,1,SOCS,5-6,Sporadic,Quiet,6.0,4-5,Fair,4,6,7,Academics,Sometimes,1-2,Negative,Yes,4-6,Not at all,Yes,5,No,NA,No
6,1,SOD,More than 6 hours,Weekdays only,Quiet,6.7,6-7,Fair,7,3,4,Finance,Often,3-4,Negative,Yes,1-3,Not at all,No,6,No,NA,No
7,1,SOL,1-2,Daily study routine,Quiet,9.0,6-7,Fair,7,5,8,Personal,Often,1-2,Negative,Yes,1-3,Fully,No,8,No,NA,No
8,4,SOD,1-2,Sporadic,Noisy,5.74,4-5,Poor,9,8,3,Academics,Sometimes,<1,Negative,Yes,<1,Somewhat,No,8,Yes,NA,No
9,3,SOL,3-4,Weekdays only,No dedicated space,5.0,4-5,Good,4,8,5,Academics,Often,1-2,No effect,No,<1,Somewhat,No,9,No,NA,No
10,4,SOD,1-2,Daily study routine,Quiet,4.33,6-7,Poor,5,6,9,Personal,Always,1-2,Positive,Yes,1-3,Somewhat,Yes,4,No,NA,Yes
11,1,SOD,3-4,Weekends only,No dedicated space,10.0,6-7,Poor,4,7,9,Finance,Always,<1,Maybe,No,1-3,Fully,Yes,8,Yes,NA,Yes
12,5,SOLS,5-6,Weekdays only,Noisy,7.45,<4,Poor,6,7,4,Academics,Always,3-4,Negative,Yes,<1,Not at all,No,6,No,NA,No
13,4,SOB,1-2,Sporadic,No dedicated space,8.24,4-5,Fair,4,9,4,Finance,Sometimes,3-4,Positive,Yes,<1,Fully,Yes,7,No,NA,No
14,1,SOD,1-2,Weekdays only,Quiet,6.68,6-7,Fair,4,8,8,Academics,Often,1-2,Negative,No,<1,Somewhat,No,6,No,NA,No
15,1,SOLS,1-2,Daily study routine,Noisy,5.77,4-5,Good,5,3,3,Academics,Sometimes,1-2,Positive,Yes,6+,Somewhat,No,9,No,NA,No
16,1,SOAE,3-4,Daily study routine,Noisy,8.66,6-7,Fair,6,5,6,Personal,Often,3-4,Positive,Yes,1-3,Fully,Yes,9,No,NA,No
17,2,SOB,3-4,Weekdays only,Quiet,5.0,6-7,Fair,8,8,4,Academics,Often,3-4,Negative,Yes,4-6,Not at all,Yes,5,No,NA,No
18,3,SOD,1-2,Daily study routine,Quiet,4.34,4-5,Good,8,4,6,Academics,Often,3-4,No effect,No,<1,Not at all,No,8,Yes,NA,No
19,2,SOHST,5-6,Sporadic,No dedicated space,7.76,8+,Good,7,5,6,Time Management,Sometimes,1-2,Maybe,Yes,6+,Somewhat,No,8,Yes,NA,No
20,2,SOCS,5-6,Weekdays only,Noisy,6.49,6-7,Fair,9,9,7,Academics,Sometimes,4+,Negative,Yes,<1,Somewhat,No,8,Yes,NA,No
21,3,SOAE,1-2,Sporadic,Noisy,5.63,4-5,Fair,4,7,3,Academics,Rarely,<1,Positive,Yes,1-3,Fully,Yes,9,Yes,5-10,No
22,1,SOAE,3-4,Daily study routine,Quiet,8.78,6-7,Poor,7,8,9,Time Management,Sometimes,3-4,Negative,No,4-6,Somewhat,Yes,8,Yes,NA,Yes
23,2,SOLS,5-6,Daily study routine,Quiet,8.7,6-7,Poor,5,6,9,Personal,Sometimes,<1,Negative,No,<1,Fully,Yes,4,No,NA,No
24,2,SOAE,1-2,Daily study routine,Quiet,8.5,6-7,Fair,8,4,6,Finance,Sometimes,3-4,No effect,Yes,1-3,Somewhat,Yes,4,No,NA,No
25,2,SOB,1-2,Weekdays only,No dedicated space,6.79,4-5,Poor,4,8,9,Time Management,Rarely,1-2,No effect,Yes,<1,Not at all,No,7,No,NA,Yes
26,4,SOD,1-2,Sporadic,No dedicated space,7.99,8+,Fair,5,9,3,Academics,Sometimes,1-2,No effect,No,<1,Fully,Yes,8,No,NA,Yes
27,1,SOD,1-2,Sporadic,No dedicated space,6.4,6-7,Excellent,9,3,7,Personal,Always,1-2,Negative,Yes,1-3,Not at all,No,5,No,NA,Yes
28,3,SOHST,5-6,Daily study routine,Quiet,7.61,4-5,Good,5,4,3,Finance,Sometimes,<1,Negative,Yes,1-3,Fully,No,7,No,NA,No
29,3,SOCS,5-6,Daily study routine,Quiet,10.0,4-5,Fair,4,9,4,Personal,Sometimes,3-4,Positive,Yes,1-3,Not at all,Yes,9,No,NA,Yes
30,1,SOLS,1-2,Daily study routine,Quiet,5.44,<4,Good,9,8,6,Finance,Sometimes,3-4,Maybe,No,1-3,Fully,No,8,No,NA,Yes
31,3,SOCS,1-2,Daily study routine,Quiet,7.02,6-7,Poor,5,3,3,Finance,Often,4+,Positive,Yes,1-3,Somewhat,No,4,No,NA,No
32,1,SOAE,1-2,Daily study routine,No dedicated space,7.65,4-5,Poor,9,4,9,Academics,Sometimes,<1,Positive,Yes,<1,Fully,No,5,No,NA,No
33,1,SOHST,1-2,Daily study routine,Noisy,7.76,4-5,Good,4,3,5,Academics,Rarely,3-4,Positive,No,<1,Not at all,No,7,No,NA,Yes
34,5,SOCS,5-6,Daily study routine,Quiet,6.75,8+,Poor,4,3,3,Personal,Often,3-4,No effect,No,6+,Somewhat,No,5,No,NA,No
35,5,SOB,1-2,Daily study routine,Noisy,8.08,4-5,Good,9,4,6,Finance,Sometimes,1-2,Negative,Yes,<1,Fully,No,8,No,NA,No
36,4,SOD,1-2,Daily study routine,Quiet,5.03,<4,Excellent,6,4,7,Finance,Always,<1,Negative,Yes,1-3,Somewhat,No,6,No,NA,No
37,2,SOAE,1-2,Weekdays only,No dedicated space,7.720000000000001,<4,Poor,7,3,9,Academics,Always,3-4,Maybe,No,<1,Somewhat,No,5,Yes,5-10,No
38,1,SOHST,3-4,Weekdays only,Quiet,8.3,4-5,Fair,5,9,7,Finance,Always,4+,Maybe,No,1-3,Somewhat,No,5,No,NA,Yes
39,3,SOCS,1-2,Weekends only,Noisy,7.73,4-5,Good,5,7,6,Personal,Always,3-4,Negative,No,1-3,Not at all,No,9,No,NA,No
40,2,SOLS,3-4,Daily study routine,No dedicated space,5.69,6-7,Poor,6,4,9,Personal,Sometimes,1-2,Positive,Yes,<1,Somewhat,No,4,No,NA,No
41,1,SOB,1-2,Daily study routine,Quiet,7.380000000000001,4-5,Fair,6,8,4,Finance,Always,1-2,No effect,Yes,<1,Fully,No,8,Yes,NA,Yes
42,2,SOB,5-6,Daily study routine,Noisy,10.0,4-5,Poor,6,5,9,Time Management,Often,<1,Maybe,No,1-3,Fully,No,5,No,NA,No
43,1,SOCS,3-4,Daily study routine,Noisy,7.79,6-7,Poor,8,6,4,Personal,Always,3-4,Negative,No,<1,Somewhat,Yes,8,No,NA,No
